ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
NT5DC4	5'-nucleotidase domain containing 4(NT5DC4)	Homo sapiens				GO:0016311~dephosphorylation,		GO:0008253~5'-nucleotidase activity,GO:0046872~metal ion binding,	IPR008380:HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase,IPR016695:Purine 5'-nucleotidase,IPR023214:HAD-like domain,			PIRSF017434:cytosolic purine 5'-nucleotidase,		Complete proteome,Hydrolase,Magnesium,Metal-binding,Reference proteome,	active site:Nucleophile,active site:Proton donor,chain:5'-nucleotidase domain-containing protein 4,metal ion-binding site:Magnesium,metal ion-binding site:Magnesium; via carbonyl oxygen,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens				GO:0006195~purine nucleotide catabolic process,GO:0009116~nucleoside metabolic process,GO:0009128~purine nucleoside monophosphate catabolic process,GO:0016311~dephosphorylation,GO:0046085~adenosine metabolic process,GO:0046135~pyrimidine nucleoside catabolic process,	GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008253~5'-nucleotidase activity,	IPR010394:5-nucleotidase,	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,				Complete proteome,Cytoplasm,Hydrolase,Magnesium,Nucleotide metabolism,Nucleotide-binding,Reference proteome,	active site:Nucleophile,chain:Cytosolic 5'-nucleotidase 1A,sequence conflict,
NT5C1B	5'-nucleotidase, cytosolic IB(NT5C1B)	Homo sapiens			Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only,	GO:0006195~purine nucleotide catabolic process,GO:0009117~nucleotide metabolic process,GO:0016311~dephosphorylation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0008253~5'-nucleotidase activity,	IPR010394:5-nucleotidase,	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,				Alternative splicing,Complete proteome,Cytoplasm,Hydrolase,Magnesium,Nucleotide metabolism,Reference proteome,	active site:Nucleophile,active site:Proton acceptor,binding site:Substrate,chain:Cytosolic 5'-nucleotidase 1B,chain:Retinol dehydrogenase 14,compositionally biased region:Poly-Gln,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,nucleotide phosphate-binding region:NADP,sequence conflict,splice variant,
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)	Homo sapiens				GO:0003360~brainstem development,GO:0006139~nucleobase-containing compound metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006189~'de novo' IMP biosynthetic process,GO:0009116~nucleoside metabolic process,GO:0009168~purine ribonucleoside monophosphate biosynthetic process,GO:0010035~response to inorganic substance,GO:0021549~cerebellum development,GO:0021987~cerebral cortex development,GO:0031100~organ regeneration,GO:0046452~dihydrofolate metabolic process,GO:0046654~tetrahydrofolate biosynthetic process,GO:0098609~cell-cell adhesion,	GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0003937~IMP cyclohydrolase activity,GO:0004643~phosphoribosylaminoimidazolecarboxamide formyltransferase activity,GO:0042803~protein homodimerization activity,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR002695:AICARFT/IMPCHase bienzyme,IPR011607:Methylglyoxal synthase-like domain,IPR016193:Cytidine deaminase-like,IPR024050:AICAR transformylase, insert domain,IPR024051:AICAR transformylase domain,	hsa00230:Purine metabolism,hsa00670:One carbon pool by folate,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,	608688~AICA-ribosiduria due to ATIC deficiency,	PIRSF000414:bifunctional purine biosynthesis protein, PurH type,	SM00798:AICARFT_IMPCHas,SM00851:SM00851,	3D-structure,Acetylation,Alternative splicing,Complete proteome,Direct protein sequencing,Disease mutation,Epilepsy,Hydrolase,Multifunctional enzyme,Polymorphism,Proteomics identification,Purine biosynthesis,Reference proteome,Transferase,	active site:Proton acceptor,binding site:AICAR,binding site:AICAR; shared with dimeric partner,binding site:AICAR; via carbonyl oxygen,binding site:AICAR; via carbonyl oxygen; shared with dimeric partner,chain:Bifunctional purine biosynthesis protein PURH,helix,modified residue,nucleotide phosphate-binding region:IMP,region of interest:AICAR binding,sequence conflict,sequence variant,site:Transition state stabilizer,strand,turn,
HTR1F	5-hydroxytryptamine receptor 1F(HTR1F)	Homo sapiens				GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0042493~response to drug,GO:0051209~release of sequestered calcium ion into cytosol,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,	GO:0004993~G-protein coupled serotonin receptor activity,GO:0030594~neurotransmitter receptor activity,GO:0051378~serotonin binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000450:5-Hydroxytryptamine 1F receptor,IPR002231:5-Hydroxytryptamine receptor family,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04726:Serotonergic synapse,			SM01381:SM01381,	Cell membrane,Complete proteome,Disulfide bond,G-protein coupled receptor,Glycoprotein,Membrane,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:5-hydroxytryptamine receptor 1F,disulfide bond,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
HTR2B	5-hydroxytryptamine receptor 2B(HTR2B)	Homo sapiens				GO:0001755~neural crest cell migration,GO:0001819~positive regulation of cytokine production,GO:0001938~positive regulation of endothelial cell proliferation,GO:0002031~G-protein coupled receptor internalization,GO:0003007~heart morphogenesis,GO:0003300~cardiac muscle hypertrophy,GO:0006182~cGMP biosynthetic process,GO:0006874~cellular calcium ion homeostasis,GO:0006939~smooth muscle contraction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007202~activation of phospholipase C activity,GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007507~heart development,GO:0007610~behavior,GO:0008284~positive regulation of cell proliferation,GO:0010507~negative regulation of autophagy,GO:0010513~positive regulation of phosphatidylinositol biosynthetic process,GO:0014033~neural crest cell differentiation,GO:0014065~phosphatidylinositol 3-kinase signaling,GO:0014827~intestine smooth muscle contraction,GO:0016310~phosphorylation,GO:0019722~calcium-mediated signaling,GO:0042310~vasoconstriction,GO:0042493~response to drug,GO:0043066~negative regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043406~positive regulation of MAP kinase activity,GO:0043547~positive regulation of GTPase activity,GO:0048598~embryonic morphogenesis,GO:0050715~positive regulation of cytokine secretion,GO:0050795~regulation of behavior,GO:0051000~positive regulation of nitric-oxide synthase activity,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051781~positive regulation of cell division,GO:0060548~negative regulation of cell death,GO:0070371~ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070528~protein kinase C signaling,GO:0071502~cellular response to temperature stimulus,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030425~dendrite,GO:0045202~synapse,	GO:0001965~G-protein alpha-subunit binding,GO:0004993~G-protein coupled serotonin receptor activity,GO:0005096~GTPase activator activity,GO:0008144~drug binding,GO:0030594~neurotransmitter receptor activity,GO:0051378~serotonin binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000482:5-Hydroxytryptamine 2B receptor,IPR002231:5-Hydroxytryptamine receptor family,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04540:Gap junction,hsa04726:Serotonergic synapse,hsa04750:Inflammatory mediator regulation of TRP channels,			SM01381:SM01381,	3D-structure,Behavior,Cell junction,Cell membrane,Complete proteome,Disulfide bond,G-protein coupled receptor,Glycoprotein,Lipoprotein,Membrane,Palmitate,Polymorphism,Receptor,Reference proteome,Synapse,Synaptosome,Transducer,Transmembrane,Transmembrane helix,	chain:5-hydroxytryptamine receptor 2B,disulfide bond,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:S-palmitoyl cysteine,sequence conflict,sequence variant,short sequence motif:PDZ-binding,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
HTR6	5-hydroxytryptamine receptor 6(HTR6)	Homo sapiens				GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0021795~cerebral cortex cell migration,GO:0032008~positive regulation of TOR signaling,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005929~cilium,GO:0030425~dendrite,	GO:0004969~histamine receptor activity,GO:0004993~G-protein coupled serotonin receptor activity,GO:0005515~protein binding,GO:0030594~neurotransmitter receptor activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04726:Serotonergic synapse,			SM01381:SM01381,	Cell membrane,Complete proteome,Disulfide bond,G-protein coupled receptor,Membrane,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:5-hydroxytryptamine receptor 6,disulfide bond,modified residue,sequence conflict,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase(MTR)	Homo sapiens				GO:0000096~sulfur amino acid metabolic process,GO:0007399~nervous system development,GO:0009086~methionine biosynthetic process,GO:0009235~cobalamin metabolic process,GO:0031103~axon regeneration,GO:0032259~methylation,GO:0042558~pteridine-containing compound metabolic process,GO:0048678~response to axon injury,GO:0071732~cellular response to nitric oxide,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0008705~methionine synthase activity,GO:0008898~S-adenosylmethionine-homocysteine S-methyltransferase activity,GO:0031419~cobalamin binding,	IPR000489:Pterin-binding,IPR003726:Homocysteine S-methyltransferase,IPR003759:Cobalamin (vitamin B12)-binding module, cap domain,IPR004223:Vitamin B12-dependent methionine synthase, activation domain,IPR006158:Cobalamin (vitamin B12)-binding domain,IPR011005:Dihydropteroate synthase-like,IPR011822:5-methyltetrahydrofolate--homocysteine methyltransferase,	hsa00270:Cysteine and methionine metabolism,hsa00450:Selenocompound metabolism,hsa00670:One carbon pool by folate,hsa01100:Metabolic pathways,hsa01230:Biosynthesis of amino acids,	250940~Homocystinuria-megaloblastic anemia, cblG complementation type,601634~Neural tube defects, folate-sensitive, susceptibility to,	PIRSF000381:cobalamin-dependent methionine synthase,	SM01018:SM01018,	3D-structure,Alternative splicing,Amino-acid biosynthesis,Cobalamin,Cobalt,Complete proteome,Cytoplasm,Disease mutation,Metal-binding,Methionine biosynthesis,Methyltransferase,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,S-adenosyl-L-methionine,Transferase,Zinc,	binding site:Cobalamin,binding site:Cobalamin; via carbonyl oxygen,binding site:S-adenosyl-L-methionine,binding site:S-adenosyl-L-methionine; via carbonyl oxygen,chain:Methionine synthase,domain:AdoMet activation,domain:B12-binding,domain:B12-binding N-terminal,domain:Hcy-binding,domain:Pterin-binding,helix,metal ion-binding site:Cobalt (cobalamin axial ligand),metal ion-binding site:Zinc,region of interest:Cobalamin-binding,region of interest:S-adenosyl-L-methionine binding,sequence variant,strand,turn,
PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(PFKFB2)	Homo sapiens				GO:0006000~fructose metabolic process,GO:0006003~fructose 2,6-bisphosphate metabolic process,GO:0006089~lactate metabolic process,GO:0006096~glycolytic process,GO:0009749~response to glucose,GO:0016311~dephosphorylation,GO:0032024~positive regulation of insulin secretion,GO:0033133~positive regulation of glucokinase activity,GO:0046835~carbohydrate phosphorylation,GO:0061621~canonical glycolysis,	GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0003873~6-phosphofructo-2-kinase activity,GO:0004331~fructose-2,6-bisphosphate 2-phosphatase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019901~protein kinase binding,	IPR001345:Phosphoglycerate/bisphosphoglycerate mutase, active site,IPR003094:Fructose-2,6-bisphosphatase,IPR013078:Histidine phosphatase superfamily, clade-1,IPR013079:6-phosphofructo-2-kinase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa00051:Fructose and mannose metabolism,hsa04152:AMPK signaling pathway,hsa04919:Thyroid hormone signaling pathway,			SM00855:SM00855,	Acetylation,Alternative splicing,ATP-binding,Complete proteome,Hydrolase,Kinase,Multifunctional enzyme,Nucleotide-binding,Phosphoprotein,Proteomics identification,Reference proteome,Transferase,	active site:Proton donor,active site:Tele-phosphohistidine intermediate,binding site:Fructose-6-phosphate,chain:6-phosphofructo-2-kinase/fructose-2,6- biphosphatase 2,modified residue,nucleotide phosphate-binding region:ATP,region of interest:6-phosphofructo-2-kinase,region of interest:Fructose-2,6-bisphosphatase,sequence conflict,splice variant,
PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4(PFKFB4)	Homo sapiens				GO:0006000~fructose metabolic process,GO:0006003~fructose 2,6-bisphosphate metabolic process,GO:0016311~dephosphorylation,GO:0046835~carbohydrate phosphorylation,GO:0061621~canonical glycolysis,	GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0003873~6-phosphofructo-2-kinase activity,GO:0004331~fructose-2,6-bisphosphate 2-phosphatase activity,GO:0005524~ATP binding,	IPR001345:Phosphoglycerate/bisphosphoglycerate mutase, active site,IPR003094:Fructose-2,6-bisphosphatase,IPR013078:Histidine phosphatase superfamily, clade-1,IPR013079:6-phosphofructo-2-kinase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa00051:Fructose and mannose metabolism,hsa04152:AMPK signaling pathway,			SM00855:SM00855,	Alternative splicing,ATP-binding,Complete proteome,Hydrolase,Kinase,Multifunctional enzyme,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transferase,	active site:Proton donor,active site:Tele-phosphohistidine intermediate,binding site:Fructose-6-phosphate,chain:6-phosphofructo-2-kinase/fructose-2,6- biphosphatase 4,modified residue,nucleotide phosphate-binding region:ATP,region of interest:6-phosphofructo-2-kinase,region of interest:Fructose-2,6-bisphosphatase,sequence variant,
ABHD14A-ACY1	ABHD14A-ACY1 readthrough(ABHD14A-ACY1)	Homo sapiens				GO:0006520~cellular amino acid metabolic process,GO:0043171~peptide catabolic process,	GO:0005737~cytoplasm,	GO:0004046~aminoacylase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0070573~metallodipeptidase activity,	IPR001261:ArgE/DapE/ACY1/CPG2/YscS, conserved site,IPR002933:Peptidase M20,IPR010159:N-acyl-L-amino-acid amidohydrolase,IPR011650:Peptidase M20, dimerisation domain,					Complete proteome,Reference proteome,Signal,
ABI3BP	ABI family member 3 binding protein(ABI3BP)	Homo sapiens				GO:0010811~positive regulation of cell-substrate adhesion,GO:0030198~extracellular matrix organization,	GO:0005614~interstitial matrix,GO:0005615~extracellular space,GO:0031012~extracellular matrix,	GO:0005518~collagen binding,GO:0008201~heparin binding,	IPR003961:Fibronectin, type III,IPR013783:Immunoglobulin-like fold,				SM00060:FN3,	Alternative splicing,Complete proteome,Glycoprotein,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Target of Nesh-SH3,compositionally biased region:Pro-rich,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,glycosylation site:N-linked (GlcNAc...),signal peptide,splice variant,
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens				GO:0006464~cellular protein modification process,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0010506~regulation of autophagy,GO:0010863~positive regulation of phospholipase C activity,GO:0010976~positive regulation of neuron projection development,GO:0016477~cell migration,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030036~actin cytoskeleton organization,GO:0030100~regulation of endocytosis,GO:0030155~regulation of cell adhesion,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0042127~regulation of cell proliferation,GO:0045087~innate immune response,GO:0051353~positive regulation of oxidoreductase activity,GO:0071300~cellular response to retinoic acid,GO:2000145~regulation of cell motility,GO:2000249~regulation of actin cytoskeleton reorganization,	GO:0005829~cytosol,GO:0015629~actin cytoskeleton,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,	GO:0000287~magnesium ion binding,GO:0003785~actin monomer binding,GO:0004672~protein kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0030145~manganese ion binding,GO:0051015~actin filament binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR015015:F-actin binding,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa05416:Viral myocarditis,	Leukemia, acute myeloid, with eosinophilia~Leukemia, acute myeloid, with eosinophilia,		SM00219:TyrKc,SM00252:SH2,SM00326:SH3,SM00808:FABD,	3D-structure,Acetylation,Alternative splicing,ATP-binding,Cell adhesion,Complete proteome,Cytoplasm,Cytoskeleton,Kinase,Lipoprotein,Magnesium,Manganese,Metal-binding,Myristate,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,SH2 domain,SH3 domain,Transferase,Tyrosine-protein kinase,Ubl conjugation,	active site:Proton acceptor,binding site:ATP,chain:Tyrosine-protein kinase ABL2,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,compositionally biased region:Pro-rich,domain:Protein kinase,domain:SH2,domain:SH3,helix,lipid moiety-binding region:N-myristoyl glycine,modified residue,nucleotide phosphate-binding region:ATP,region of interest:CAP,sequence conflict,sequence variant,short sequence motif:Kinase activation loop,short sequence motif:Nuclear localization signal,splice variant,strand,
ADAM17	ADAM metallopeptidase domain 17(ADAM17)	Homo sapiens		h_erbb4Pathway:g-Secretase mediated ErbB4 Signaling Pathway ,h_notchPathway:Proteolysis and Signaling Pathway of Notch ,h_ps1Pathway:Presenilin action in Notch and Wnt signaling,		GO:0001666~response to hypoxia,GO:0001934~positive regulation of protein phosphorylation,GO:0002446~neutrophil mediated immunity,GO:0002467~germinal center formation,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006508~proteolysis,GO:0006509~membrane protein ectodomain proteolysis,GO:0007155~cell adhesion,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007219~Notch signaling pathway,GO:0007220~Notch receptor processing,GO:0008284~positive regulation of cell proliferation,GO:0010820~positive regulation of T cell chemotaxis,GO:0030183~B cell differentiation,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0031293~membrane protein intracellular domain proteolysis,GO:0031659~positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,GO:0032496~response to lipopolysaccharide,GO:0032722~positive regulation of chemokine production,GO:0033025~regulation of mast cell apoptotic process,GO:0033077~T cell differentiation in thymus,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0033627~cell adhesion mediated by integrin,GO:0035313~wound healing, spreading of epidermal cells,GO:0035625~epidermal growth factor-activated receptor transactivation by G-protein coupled receptor signaling pathway,GO:0042493~response to drug,GO:0045741~positive regulation of epidermal growth factor-activated receptor activity,GO:0048536~spleen development,GO:0048870~cell motility,GO:0050830~defense response to Gram-positive bacterium,GO:0051088~PMA-inducible membrane protein ectodomain proteolysis,GO:0051272~positive regulation of cellular component movement,GO:0055099~response to high density lipoprotein particle,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0015629~actin cytoskeleton,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0032587~ruffle membrane,GO:0045121~membrane raft,	GO:0004222~metalloendopeptidase activity,GO:0005112~Notch binding,GO:0005138~interleukin-6 receptor binding,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,GO:0017124~SH3 domain binding,GO:0030165~PDZ domain binding,GO:0046872~metal ion binding,	IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR024079:Metallopeptidase, catalytic domain,	hsa04330:Notch signaling pathway,hsa05010:Alzheimer's disease,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,	614328~Inflammatory skin and bowel disease, neonatal, 1,		SM00050:DISIN,	3D-structure,Alternative splicing,Cleavage on pair of basic residues,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Hydrolase,Membrane,Metal-binding,Metalloprotease,Notch signaling pathway,Phosphoprotein,Polymorphism,Protease,Proteomics identification,Reference proteome,SH3-binding,Signal,Transmembrane,Transmembrane helix,Zinc,Zymogen,	chain:Disintegrin and metalloproteinase domain- containing protein 17,compositionally biased region:Cys-rich,compositionally biased region:Poly-Val,disulfide bond,domain:Disintegrin,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),helix,metal ion-binding site:Zinc; catalytic,metal ion-binding site:Zinc; in inhibited form,modified residue,region of interest:Crambin-like,sequence conflict,sequence variant,short sequence motif:Cysteine switch,short sequence motif:SH3-binding,signal peptide,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
ADAM23	ADAM metallopeptidase domain 23(ADAM23)	Homo sapiens				GO:0006508~proteolysis,GO:0007155~cell adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0007417~central nervous system development,	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0004222~metalloendopeptidase activity,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,	IPR000742:Epidermal growth factor-like domain,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR013032:EGF-like, conserved site,IPR013111:EGF, extracellular,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,	Alternative splicing,Cell adhesion,Cell membrane,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,EGF-like domain,Glycoprotein,Integrin,Membrane,Proteomics identification,Reference proteome,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:Disintegrin and metalloproteinase domain- containing protein 23,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:EGF-like,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),modified residue,mutagenesis site,region of interest:May bind the integrin receptor,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9(ADAMTS9)	Homo sapiens				GO:0006508~proteolysis,GO:0006516~glycoprotein catabolic process,GO:0007275~multicellular organism development,GO:0015031~protein transport,GO:0016192~vesicle-mediated transport,GO:0045636~positive regulation of melanocyte differentiation,	GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0009986~cell surface,GO:0031012~extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR010294:ADAM-TS Spacer 1,IPR012314:Peptidase M12B, GON-ADAMTSs,IPR013273:Peptidase M12B, ADAM-TS,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,	Alternative splicing,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,Endoplasmic reticulum,ER-Golgi transport,Extracellular matrix,Glycoprotein,Hydrolase,Metal-binding,Metalloprotease,Polymorphism,Protease,Protein transport,Reference proteome,Repeat,Secreted,Signal,Transport,Zinc,Zymogen,	chain:A disintegrin and metalloproteinase with thrombospondin motifs 9,compositionally biased region:Cys-rich,compositionally biased region:Poly-Ser,disulfide bond,domain:Disintegrin,domain:GON,domain:Peptidase M12B,domain:TSP type-1 1,domain:TSP type-1 10,domain:TSP type-1 11,domain:TSP type-1 12,domain:TSP type-1 13,domain:TSP type-1 14,domain:TSP type-1 15,domain:TSP type-1 2,domain:TSP type-1 3,domain:TSP type-1 4,domain:TSP type-1 5,domain:TSP type-1 6,domain:TSP type-1 7,domain:TSP type-1 8,domain:TSP type-1 9,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,metal ion-binding site:Zinc; in inhibited form,region of interest:Spacer,sequence conflict,sequence variant,short sequence motif:Cysteine switch,signal peptide,splice variant,
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1(ADAMTSL4-AS1)	Homo sapiens												Complete proteome,Reference proteome,	chain:Uncharacterized protein C1orf138,compositionally biased region:Pro-rich,sequence conflict,
